3D Rendering,1,0.0440039,
Optical Flow,1,0.619616,
Optical Flow,2,0.86602,
Image Scaling,1,2.9925,
Image Compression,512,3.79975,
Digit Recognition,1,4.79349,
Lenet,512,2.07376,
Optical Flow,2,1.17964,
Optical Flow,1,0.719002,
Lenet,32,0.107006,
Optical Flow,1,0.619206,
Image Scaling,2,4.92501,
